time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider
2016-03-28T22:23:15Z,30.710628,-96.467794,105.6,6,116,0,3,gps
2016-03-28T22:23:17Z,30.710632,-96.467793,105.5,6,116,0,2,gps
2016-03-28T22:23:18Z,30.710634,-96.467795,105.6,6,116,0,6,gps
2016-03-28T22:23:19Z,30.710634,-96.467796,105.6,6,116,0,8,gps
2016-03-28T22:23:20Z,30.710633,-96.467797,105.7,6,116,0,8,gps
2016-03-28T22:23:21Z,30.710633,-96.467798,105.5,4,116,0,10,gps
2016-03-28T22:23:23Z,30.710634,-96.467802,105.1,4,116,0,11,gps
2016-03-28T22:23:24Z,30.710635,-96.467803,105.1,4,116,0,11,gps
2016-03-28T22:23:25Z,30.710635,-96.467802,105.6,4,116,0,11,gps
2016-03-28T22:23:26Z,30.710635,-96.467801,105.8,4,116,0,11,gps
2016-03-28T22:23:27Z,30.710636,-96.467801,105.8,4,116,0,11,gps
2016-03-28T22:23:28Z,30.710636,-96.4678,105.8,4,116,0,11,gps
2016-03-28T22:23:29Z,30.710636,-96.4678,105.8,4,116,0,11,gps
2016-03-28T22:23:30Z,30.710636,-96.467799,105.8,4,116,0,11,gps
2016-03-28T22:23:31Z,30.710636,-96.467799,105.8,6,116,0,11,gps
2016-03-28T22:23:32Z,30.710636,-96.467799,105.8,4,116,0,11,gps
2016-03-28T22:23:33Z,30.710636,-96.4678,105.7,4,116,0,12,gps
2016-03-28T22:23:34Z,30.710635,-96.467804,105.9,4,116,0,12,gps
2016-03-28T22:23:35Z,30.710635,-96.467807,105.9,6,116,0,12,gps
2016-03-28T22:23:36Z,30.710635,-96.467808,105.9,6,116,0,11,gps
2016-03-28T22:23:37Z,30.710635,-96.467808,105.9,6,116,0,11,gps
2016-03-28T22:23:38Z,30.710635,-96.467809,105.9,6,116,0,11,gps
2016-03-28T22:23:39Z,30.710635,-96.467809,105.9,6,116,0,10,gps
2016-03-28T22:23:40Z,30.710635,-96.467809,106,6,116,0,8,gps
2016-03-28T22:23:41Z,30.710635,-96.467809,106,6,116,0,6,gps
2016-03-28T22:23:42Z,30.710635,-96.467809,106,6,116,0,7,gps
2016-03-28T22:23:43Z,30.710634,-96.467811,106.3,6,116,0,11,gps
2016-03-28T22:23:44Z,30.710634,-96.467811,106.4,6,116,0,11,gps
2016-03-28T22:23:45Z,30.710633,-96.467812,106.4,6,116,0,11,gps
2016-03-28T22:23:46Z,30.710633,-96.467812,106.4,6,116,0,11,gps
2016-03-28T22:23:47Z,30.710633,-96.467812,106.4,6,116,0,11,gps
2016-03-28T22:23:48Z,30.710633,-96.467813,106.3,6,116,0,11,gps
2016-03-28T22:23:49Z,30.710633,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:50Z,30.710633,-96.467813,106.3,6,116,0,11,gps
2016-03-28T22:23:51Z,30.710633,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:52Z,30.710633,-96.467813,106.4,4,116,0,11,gps
2016-03-28T22:23:53Z,30.710633,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:54Z,30.710633,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:55Z,30.710632,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:56Z,30.710632,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:57Z,30.710633,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:58Z,30.710632,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:23:59Z,30.710632,-96.467813,106.3,4,116,0,11,gps
2016-03-28T22:24:00Z,30.710632,-96.467814,106.3,4,116,0,11,gps
2016-03-28T22:24:01Z,30.710632,-96.467814,106.3,4,116,0,11,gps
2016-03-28T22:24:02Z,30.710632,-96.467814,106.3,4,116,0,11,gps
2016-03-28T22:24:03Z,30.710632,-96.467814,106.3,4,116,0,10,gps
2016-03-28T22:24:04Z,30.710632,-96.467814,106.3,4,116,0,11,gps
2016-03-28T22:24:05Z,30.710632,-96.467814,106.3,4,116,0,12,gps
2016-03-28T22:24:06Z,30.710632,-96.467814,106.2,4,116,0,12,gps
2016-03-28T22:24:07Z,30.710632,-96.467814,106.3,6,116,0,12,gps
2016-03-28T22:24:08Z,30.710632,-96.467814,106.3,4,116,0,10,gps
2016-03-28T22:24:09Z,30.710632,-96.467814,106.3,4,116,0,12,gps
2016-03-28T22:24:10Z,30.710632,-96.467814,106.3,4,116,0,12,gps
2016-03-28T22:24:11Z,30.710632,-96.467814,106.2,4,116,0,10,gps
